table_name,column_pysical_name,column_logical_name,invalid_flag,special_translation,original_category,category,meaning,minimum_class,class_2,class_3,class_4,class_5,class_6,class_7,maximum_class,minimum_class_name,class_name_2,class_name_3,class_name_4,class_name_5,class_name_6,class_name_7,maximum_class_name,strength,note,valid_from,valid_to
a_bac,race_condition_track_grass_dart_etc,レース条件$トラック情報$芝ダ障害コード,0,0,0,1,芝,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_grass_dart_etc,レース条件$トラック情報$芝ダ障害コード,0,0,0,2,ダート,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_grass_dart_etc,レース条件$トラック情報$芝ダ障害コード,0,0,0,3,障害,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_right_left,レース条件$トラック情報$右左,0,0,0,1,右,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_right_left,レース条件$トラック情報$右左,0,0,0,2,左,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_right_left,レース条件$トラック情報$右左,0,0,0,3,直,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_right_left,レース条件$トラック情報$右左,0,0,0,9,他,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_inner_outer,レース条件$トラック情報$内外,0,0,0,1,通常(内),,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_inner_outer,レース条件$トラック情報$内外,0,0,0,2,外,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_inner_outer,レース条件$トラック情報$内外,0,0,0,3,直ダ,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_track_inner_outer,レース条件$トラック情報$内外,0,0,0,9,他,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_type,レース条件$種別,0,0,0,11,２歳,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_type,レース条件$種別,0,0,0,12,３歳,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_type,レース条件$種別,0,0,0,13,３歳以上,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_type,レース条件$種別,0,0,0,14,４歳以上,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_type,レース条件$種別,0,0,0,20,障害,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_type,レース条件$種別,0,0,0,99,その他,,,,,,,,,,,,,,,,,,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,04,400万下 1勝クラス  1,1,,,,,,,,,,,,,,,,4,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,05,500万下 1勝クラス  1,1,,,,,,,,,,,,,,,,5,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,08,800万下 2勝クラス  2,2,,,,,,,,,,,,,,,,6,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,09,900万下 2勝クラス  2,2,,,,,,,,,,,,,,,,7,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,10,1000万下 2勝クラス  2,2,,,,,,,,,,,,,,,,8,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,15,1500万下 準オープンクラス  3,3,,,,,,,,,,,,,,,,9,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,16,1600万下 準オープンクラス  3,3,,,,,,,,,,,,,,,,10,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,A1,新馬 未勝利クラス  0,0,,,,,,,,,,,,,,,,1,未出走戦は出走資格は新馬と同様であるが、賞金は未勝利と同額（新馬戦は未勝利戦よりも賞金額が多い）という競走であった。2002年より2歳新馬戦の開始が早まったことにより、2003年の春季開催より未出走戦は廃止された。,1900/1/1,2003/4/1
a_bac,race_condition_condition,レース条件$条件,0,0,0,A2,未出走 未勝利クラス  0,0,,,,,,,,,,,,,,,,2,以前は新馬戦で敗れた競走馬は同じ開催であれば新馬戦に何回でも挑戦できた。2003年の夏季開催より新馬戦の出走は1回のみに限定された。,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,A3,未勝利 未勝利クラス  0,0,,,,,,,,,,,,,,,,3,,,
a_bac,race_condition_condition,レース条件$条件,0,0,0,OP,オープン オープンクラス  9,9,,,,,,,,,,,,,,,,11,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,000,なし-なし-なし,0,0,0,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,001,なし-なし-○指,0,0,1,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,002,なし-なし-□指,0,0,2,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,003,なし-なし-○特指,0,0,3,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,004,なし-なし-若手,0,0,4,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,010,なし-牡馬限定-なし,0,1,0,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,011,なし-牡馬限定-○指,0,1,1,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,012,なし-牡馬限定-□指,0,1,2,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,013,なし-牡馬限定-○特指,0,1,3,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,014,なし-牡馬限定-若手,0,1,4,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,020,なし-牝馬限定-なし,0,2,0,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,021,なし-牝馬限定-○指,0,2,1,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,022,なし-牝馬限定-□指,0,2,2,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,023,なし-牝馬限定-○特指,0,2,3,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,024,なし-牝馬限定-若手,0,2,4,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,030,なし-牡・せん馬限定-なし,0,3,0,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,031,なし-牡・せん馬限定-○指,0,3,1,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,032,なし-牡・せん馬限定-□指,0,3,2,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,033,なし-牡・せん馬限定-○特指,0,3,3,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,034,なし-牡・せん馬限定-若手,0,3,4,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,040,なし-牡・牝馬限定-なし,0,4,0,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,041,なし-牡・牝馬限定-○指,0,4,1,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,042,なし-牡・牝馬限定-□指,0,4,2,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,043,なし-牡・牝馬限定-○特指,0,4,3,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,044,なし-牡・牝馬限定-若手,0,4,4,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,100,○混-なし-なし,1,0,0,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,101,○混-なし-○指,1,0,1,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,102,○混-なし-□指,1,0,2,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,103,○混-なし-○特指,1,0,3,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,104,○混-なし-若手,1,0,4,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,110,○混-牡馬限定-なし,1,1,0,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,111,○混-牡馬限定-○指,1,1,1,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,112,○混-牡馬限定-□指,1,1,2,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,113,○混-牡馬限定-○特指,1,1,3,,,,,,,,,,,,,,,,,
a_bac,race_condition_mark,レース条件$記号,0,0,0,114,○混-牡馬限定-若手,1,1,4,,,,,,,,,,,,,,,,,
