0.01,0.01,0.03203
0.02,0.01,0.00275
0.03,0.01,-0.02605
0.04,0.01,-0.05437
0.05,0.01,-0.08221
0.06,0.01,-0.10957
0.07,0.01,-0.13645
0.08,0.01,-0.16285
0.09,0.01,-0.18877
0.1,0.01,-0.21421
0.11,0.01,-0.23917
0.12,0.01,-0.26365
0.13,0.01,-0.28765
0.14,0.01,-0.31117
0.15,0.01,-0.33421
0.16,0.01,-0.35677
0.17,0.01,-0.37885
0.18,0.01,-0.40045
0.19,0.01,-0.42157
0.2,0.01,-0.44221
0.21,0.01,-0.46237
0.22,0.01,-0.48205
0.23,0.01,-0.50125
0.24,0.01,-0.51997
0.25,0.01,-0.53821
0.26,0.01,-0.55597
0.27,0.01,-0.57325
0.28,0.01,-0.59005
0.29,0.01,-0.60637
0.3,0.01,-0.62221
0.31,0.01,-0.63757
0.32,0.01,-0.65245
0.33,0.01,-0.66685
0.34,0.01,-0.68077
0.35,0.01,-0.69421
0.36,0.01,-0.70717
0.37,0.01,-0.71965
0.38,0.01,-0.73165
0.39,0.01,-0.74317
0.4,0.01,-0.75421
0.41,0.01,-0.76477
0.42,0.01,-0.77485
0.43,0.01,-0.78445
0.44,0.01,-0.79357
0.45,0.01,-0.80221
0.46,0.01,-0.81037
0.47,0.01,-0.81805
0.48,0.01,-0.82525
0.49,0.01,-0.83197
0.5,0.01,-0.83821
0.51,0.01,-0.84397
0.52,0.01,-0.84925
0.53,0.01,-0.85405
0.54,0.01,-0.85837
0.55,0.01,-0.86221
0.56,0.01,-0.86557
0.57,0.01,-0.86845
0.58,0.01,-0.87085
0.59,0.01,-0.87277
0.6,0.01,-0.87421
0.61,0.01,-0.87517
0.62,0.01,-0.87565
0.63,0.01,-0.87565
0.64,0.01,-0.87517
0.65,0.01,-0.87421
0.66,0.01,-0.87277
0.67,0.01,-0.87085
0.68,0.01,-0.86845
0.69,0.01,-0.86557
0.7,0.01,-0.86221
0.71,0.01,-0.85837
0.72,0.01,-0.85405
0.73,0.01,-0.84925
0.74,0.01,-0.84397
0.75,0.01,-0.83821
0.76,0.01,-0.83197
0.77,0.01,-0.82525
0.78,0.01,-0.81805
0.79,0.01,-0.81037
0.8,0.01,-0.80221
0.81,0.01,-0.79357
0.82,0.01,-0.78445
0.83,0.01,-0.77485
0.84,0.01,-0.76477
0.85,0.01,-0.75421
0.86,0.01,-0.74317
0.87,0.01,-0.73165
0.88,0.01,-0.71965
0.89,0.01,-0.70717
0.9,0.01,-0.69421
0.91,0.01,-0.68077
0.92,0.01,-0.66685
0.93,0.01,-0.65245
0.94,0.01,-0.63757
0.95,0.01,-0.62221
