horse_count,v_horse_no,interval,horse_no_from,horse_no_to,area_to,denominator,numerator
"2","1","17","1","2","17","17","0"
"2","2","17","1","2","17","17","1"
"2","3","17","1","2","17","17","2"
"2","4","17","1","2","17","17","3"
"2","5","17","1","2","17","17","4"
"2","6","17","1","2","17","17","5"
"2","7","17","1","2","17","17","6"
"2","8","17","1","2","17","17","7"
"2","9","17","1","2","17","17","8"
"2","10","17","1","2","17","17","9"
"2","11","17","1","2","17","17","10"
"2","12","17","1","2","17","17","11"
"2","13","17","1","2","17","17","12"
"2","14","17","1","2","17","17","13"
"2","15","17","1","2","17","17","14"
"2","16","17","1","2","17","17","15"
"2","17","17","1","2","17","17","16"
"3","1","8.5","1","2","8.5","8.5","0"
"3","2","8.5","1","2","8.5","8.5","1"
"3","3","8.5","1","2","8.5","8.5","2"
"3","4","8.5","1","2","8.5","8.5","3"
"3","5","8.5","1","2","8.5","8.5","4"
"3","6","8.5","1","2","8.5","8.5","5"
"3","7","8.5","1","2","8.5","8.5","6"
"3","8","8.5","1","2","8.5","8.5","7"
"3","9","8.5","2","3","17","8.5","0"
"3","10","8.5","2","3","17","8.5","1"
"3","11","8.5","2","3","17","8.5","2"
"3","12","8.5","2","3","17","8.5","3"
"3","13","8.5","2","3","17","8.5","4"
"3","14","8.5","2","3","17","8.5","5"
"3","15","8.5","2","3","17","8.5","6"
"3","16","8.5","2","3","17","8.5","7"
"3","17","8.5","2","3","17","8.5","8"
"4","1","5.66666666666667","1","2","5.66666666666667","5.66666666666667","0"
"4","2","5.66666666666667","1","2","5.66666666666667","5.66666666666667","1"
"4","3","5.66666666666667","1","2","5.66666666666667","5.66666666666667","2"
"4","4","5.66666666666667","1","2","5.66666666666667","5.66666666666667","3"
"4","5","5.66666666666667","1","2","5.66666666666667","5.66666666666667","4"
"4","6","5.66666666666667","2","3","11.3333333333333","5.66666666666667","0"
"4","7","5.66666666666667","2","3","11.3333333333333","5.66666666666667","1"
"4","8","5.66666666666667","2","3","11.3333333333333","5.66666666666667","2"
"4","9","5.66666666666667","2","3","11.3333333333333","5.66666666666667","3"
"4","10","5.66666666666667","2","3","11.3333333333333","5.66666666666667","4"
"4","11","5.66666666666667","2","3","11.3333333333333","5.66666666666667","5"
"4","12","5.66666666666667","3","4","17","5.66666666666667","0"
"4","13","5.66666666666667","3","4","17","5.66666666666667","1"
"4","14","5.66666666666667","3","4","17","5.66666666666667","2"
"4","15","5.66666666666667","3","4","17","5.66666666666667","3"
"4","16","5.66666666666667","3","4","17","5.66666666666667","4"
"4","17","5.66666666666667","3","4","17","5.66666666666667","5"
"5","1","4.25","1","2","4.25","4.25","0"
"5","2","4.25","1","2","4.25","4.25","1"
"5","3","4.25","1","2","4.25","4.25","2"
"5","4","4.25","1","2","4.25","4.25","3"
"5","5","4.25","2","3","8.5","4.25","0"
"5","6","4.25","2","3","8.5","4.25","1"
"5","7","4.25","2","3","8.5","4.25","2"
"5","8","4.25","2","3","8.5","4.25","3"
"5","9","4.25","3","4","12.75","4.25","0"
"5","10","4.25","3","4","12.75","4.25","1"
"5","11","4.25","3","4","12.75","4.25","2"
"5","12","4.25","3","4","12.75","4.25","3"
"5","13","4.25","4","5","17","4.25","0"
"5","14","4.25","4","5","17","4.25","1"
"5","15","4.25","4","5","17","4.25","2"
"5","16","4.25","4","5","17","4.25","3"
"5","17","4.25","4","5","17","4.25","4"
"6","1","3.4","1","2","3.4","3.4","0"
"6","2","3.4","1","2","3.4","3.4","1"
"6","3","3.4","1","2","3.4","3.4","2"
"6","4","3.4","2","3","6.8","3.4","0"
"6","5","3.4","2","3","6.8","3.4","1"
"6","6","3.4","2","3","6.8","3.4","2"
"6","7","3.4","3","4","10.2","3.4","0"
"6","8","3.4","3","4","10.2","3.4","1"
"6","9","3.4","3","4","10.2","3.4","2"
"6","10","3.4","3","4","10.2","3.4","3"
"6","11","3.4","4","5","13.6","3.4","0"
"6","12","3.4","4","5","13.6","3.4","1"
"6","13","3.4","4","5","13.6","3.4","2"
"6","14","3.4","5","6","17","3.4","0"
"6","15","3.4","5","6","17","3.4","1"
"6","16","3.4","5","6","17","3.4","2"
"6","17","3.4","5","6","17","3.4","3"
"7","1","2.83333333333333","1","2","2.83333333333333","2.83333333333333","0"
"7","2","2.83333333333333","1","2","2.83333333333333","2.83333333333333","1"
"7","3","2.83333333333333","2","3","5.66666666666667","2.83333333333333","0"
"7","4","2.83333333333333","2","3","5.66666666666667","2.83333333333333","1"
"7","5","2.83333333333333","2","3","5.66666666666667","2.83333333333333","2"
"7","6","2.83333333333333","3","4","8.5","2.83333333333333","0"
"7","7","2.83333333333333","3","4","8.5","2.83333333333333","1"
"7","8","2.83333333333333","3","4","8.5","2.83333333333333","2"
"7","9","2.83333333333333","4","5","11.3333333333333","2.83333333333333","0"
"7","10","2.83333333333333","4","5","11.3333333333333","2.83333333333333","1"
"7","11","2.83333333333333","4","5","11.3333333333333","2.83333333333333","2"
"7","12","2.83333333333333","5","6","14.1666666666667","2.83333333333333","0"
"7","13","2.83333333333333","5","6","14.1666666666667","2.83333333333333","1"
"7","14","2.83333333333333","5","6","14.1666666666667","2.83333333333333","2"
"7","15","2.83333333333333","6","7","17","2.83333333333333","0"
"7","16","2.83333333333333","6","7","17","2.83333333333333","1"
"7","17","2.83333333333333","6","7","17","2.83333333333333","2"
"8","1","2.42857142857143","1","2","2.42857142857143","2.42857142857143","0"
"8","2","2.42857142857143","1","2","2.42857142857143","2.42857142857143","1"
"8","3","2.42857142857143","2","3","4.85714285714286","2.42857142857143","0"
"8","4","2.42857142857143","2","3","4.85714285714286","2.42857142857143","1"
"8","5","2.42857142857143","3","4","7.28571428571428","2.42857142857143","0"
"8","6","2.42857142857143","3","4","7.28571428571428","2.42857142857143","1"
"8","7","2.42857142857143","3","4","7.28571428571428","2.42857142857143","2"
"8","8","2.42857142857143","4","5","9.71428571428571","2.42857142857143","0"
"8","9","2.42857142857143","4","5","9.71428571428571","2.42857142857143","1"
"8","10","2.42857142857143","5","6","12.1428571428571","2.42857142857143","0"
"8","11","2.42857142857143","5","6","12.1428571428571","2.42857142857143","1"
"8","12","2.42857142857143","5","6","12.1428571428571","2.42857142857143","2"
"8","13","2.42857142857143","6","7","14.5714285714286","2.42857142857143","0"
"8","14","2.42857142857143","6","7","14.5714285714286","2.42857142857143","1"
"8","15","2.42857142857143","7","8","17","2.42857142857143","0"
"8","16","2.42857142857143","7","8","17","2.42857142857143","1"
"8","17","2.42857142857143","7","8","17","2.42857142857143","2"
"9","1","2.125","1","2","2.125","2.125","0"
"9","2","2.125","1","2","2.125","2.125","1"
"9","3","2.125","2","3","4.25","2.125","0"
"9","4","2.125","2","3","4.25","2.125","1"
